frame_id,timestamp,detections,tracks,anomalies,centers,boxes
0,2025-11-08 13:24:52.574577,1,"{0: array([242.12373352,  97.03488159])}",{},"[[np.float32(242.12373), np.float32(97.03488)]]","[[np.float32(219.40714), np.float32(46.956356), np.float32(264.84033), np.float32(147.1134)]]"
1,2025-11-08 13:24:54.499292,1,"{0: array([238.28733969, 159.14252961])}",{},"[[np.float32(238.26816), np.float32(159.45306)]]","[[np.float32(210.63892), np.float32(149.30475), np.float32(265.8974), np.float32(169.6014)]]"
2,2025-11-08 13:24:55.970756,1,"{1: array([101.85202789, 219.24098206])}",{},"[[np.float32(101.85203), np.float32(219.24098)]]","[[np.float32(80.93604), np.float32(174.88242), np.float32(122.76801), np.float32(263.59955)]]"
3,2025-11-08 13:24:57.502232,1,"{0: array([195.31887229, 141.88974318])}",{},"[[np.float32(195.12708), np.float32(141.50076)]]","[[np.float32(163.23618), np.float32(131.25333), np.float32(227.01796), np.float32(151.7482)]]"
4,2025-11-08 13:24:58.810678,1,"{0: array([191.20098248, 169.22022674])}",{},"[[np.float32(198.13464), np.float32(183.57956)]]","[[np.float32(168.95065), np.float32(164.60283), np.float32(227.31865), np.float32(202.5563)]]"
5,2025-11-08 13:25:00.147734,1,"{0: array([157.56536215, 164.38500912])}",{},"[[np.float32(144.80983), np.float32(157.19257)]]","[[np.float32(101.14049), np.float32(133.00114), np.float32(188.47917), np.float32(181.38397)]]"
6,2025-11-08 13:25:01.500547,1,"{2: array([278.46365356, 216.56420898])}",{},"[[np.float32(278.46365), np.float32(216.56421)]]","[[np.float32(250.59334), np.float32(206.8753), np.float32(306.33398), np.float32(226.25313)]]"
7,2025-11-08 13:25:02.799026,1,"{2: array([230.4297873 , 271.68861481])}",{},"[[np.float32(230.18962), np.float32(271.96423)]]","[[np.float32(194.54077), np.float32(260.96442), np.float32(265.83847), np.float32(282.96408)]]"
8,2025-11-08 13:25:04.107770,1,"{3: array([168.98974609,  96.28694153])}",{},"[[np.float32(168.98975), np.float32(96.28694)]]","[[np.float32(140.05197), np.float32(86.64238), np.float32(197.92752), np.float32(105.931496)]]"
9,2025-11-08 13:25:05.432016,1,"{3: array([257.7768039 , 138.07518007])}",{},"[[np.float32(258.22073), np.float32(138.28412)]]","[[np.float32(235.35399), np.float32(121.49792), np.float32(281.0875), np.float32(155.07033)]]"
10,2025-11-08 13:25:06.781533,1,"{4: array([181.29852295, 128.25547791])}",{},"[[np.float32(181.29852), np.float32(128.25548)]]","[[np.float32(151.46983), np.float32(73.562386), np.float32(211.1272), np.float32(182.94856)]]"
