frame_id,timestamp,position,state,track_id
0,2025-11-08 13:24:52.574577,"[242.1237335205078, 97.03488159179688]","[242.1237335205078, 97.03488159179688, 0.0, 0.0]",0
1,2025-11-08 13:24:54.499292,"[238.28733968837344, 159.14252960644995]","[238.28733968837344, 159.14252960644995, -1.9182688475524003, 31.05498851117052]",0
3,2025-11-08 13:24:57.502232,"[195.31887229128154, 141.8897431832808]","[195.31887229128154, 141.8897431832808, -21.29482570507675, -8.242258263605734]",0
4,2025-11-08 13:24:58.810678,"[191.20098247956784, 169.22022674038513]","[191.20098247956784, 169.22022674038513, -14.416923126082352, 6.001600724370052]",0
5,2025-11-08 13:25:00.147734,"[157.56536215004684, 164.38500911593135]","[157.56536215004684, 164.38500911593135, -20.94147534115965, 2.3226111230583557]",0
2,2025-11-08 13:24:55.970756,"[101.8520278930664, 219.24098205566406]","[101.8520278930664, 219.24098205566406, 0.0, 0.0]",1
6,2025-11-08 13:25:01.500547,"[278.4636535644531, 216.564208984375]","[278.4636535644531, 216.564208984375, 0.0, 0.0]",2
7,2025-11-08 13:25:02.799026,"[230.42978730091824, 271.6886148145191]","[230.42978730091824, 271.6886148145191, -24.01783375550208, 27.56323648476173]",2
8,2025-11-08 13:25:04.107770,"[168.98974609375, 96.28694152832031]","[168.98974609375, 96.28694152832031, 0.0, 0.0]",3
9,2025-11-08 13:25:05.432016,"[257.77680390265533, 138.07518007136082]","[257.77680390265533, 138.07518007136082, 44.39519364097738, 20.894902791198934]",3
12,2025-11-08 13:25:09.575143,"[385.84434486687366, 162.90755997755525]","[385.84434486687366, 162.90755997755525, 42.698302284069456, 8.34492476576019]",3
10,2025-11-08 13:25:06.781533,"[181.29852294921875, 128.25547790527344]","[181.29852294921875, 128.25547790527344, 0.0, 0.0]",4
11,2025-11-08 13:25:08.291032,"[149.7048566158763, 139.88911343324236]","[149.7048566158763, 139.88911343324236, -15.797425540510295, 5.8170358919240055]",4
16,2025-11-08 13:25:14.464549,"[108.057946062735, 232.76759560273837]","[108.057946062735, 232.76759560273837, -8.348722430652069, 18.542654770406795]",4
14,2025-11-08 13:25:12.020923,"[293.18450927734375, 51.52363204956055]","[293.18450927734375, 51.52363204956055, 0.0, 0.0]",5
17,2025-11-08 13:25:15.752374,"[273.8880081916958, 112.56535217036708]","[273.8880081916958, 112.56535217036708, -5.789312103434196, 18.313660468356417]",5
18,2025-11-08 13:25:17.137664,"[195.53415513923517, 154.35194370666022]","[195.53415513923517, 154.35194370666022, -70.3157614274942, 39.186456977967545]",5
15,2025-11-08 13:25:13.179562,"[111.05780792236328, 63.76999282836914]","[111.05780792236328, 63.76999282836914, 0.0, 0.0]",6
16,2025-11-08 13:25:14.464549,"[386.82025146484375, 118.72480010986328]","[386.82025146484375, 118.72480010986328, 0.0, 0.0]",7
20,2025-11-08 13:25:19.831303,"[236.6062774658203, 218.55941772460938]","[236.6062774658203, 218.55941772460938, 0.0, 0.0]",8
21,2025-11-08 13:25:21.114739,"[158.56851341074952, 212.27671342181858]","[158.56851341074952, 212.27671342181858, -39.02034521732156, -3.1414699506285775]",8
22,2025-11-08 13:25:22.446654,"[263.6662902832031, 132.76467895507812]","[263.6662902832031, 132.76467895507812, 0.0, 0.0]",9
23,2025-11-08 13:25:23.688250,"[275.96457137489324, 142.8023209622309]","[275.96457137489324, 142.8023209622309, 6.149371135733163, 5.019009207011476]",9
24,2025-11-08 13:25:24.828304,"[193.78411117776616, 148.6767427574687]","[193.78411117776616, 148.6767427574687, -79.66134075631426, 5.850025886761579]",9
25,2025-11-08 13:25:26.150659,"[165.09124979300296, 144.53495748930857]","[165.09124979300296, 144.53495748930857, -49.330724638873996, -0.09595861571203113]",9
26,2025-11-08 13:25:27.286243,"[177.13031005859375, 233.29823303222656]","[177.13031005859375, 233.29823303222656, 0.0, 0.0]",10
27,2025-11-08 13:25:28.413858,"[230.9491252301589, 172.98034239722116]","[230.9491252301589, 172.98034239722116, 26.910416675953407, -30.16007626381527]",10
28,2025-11-08 13:25:29.486866,"[248.76677716123297, 181.5020374479515]","[248.76677716123297, 181.5020374479515, 18.07697270746324, 7.418511668025339]",10
29,2025-11-08 13:25:30.692240,"[282.13819133733875, 134.34117773538517]","[282.13819133733875, 134.34117773538517, 27.178476982966227, -25.06089485317326]",10
30,2025-11-08 13:25:31.889036,"[79.27226257324219, 170.81423950195312]","[79.27226257324219, 170.81423950195312, 0.0, 0.0]",11
31,2025-11-08 13:25:33.041279,"[134.28771608784206, 114.31428032231209]","[134.28771608784206, 114.31428032231209, 27.508758284159242, -28.251038950813125]",11
32,2025-11-08 13:25:34.360706,"[167.54479364946735, 115.95900353090518]","[167.54479364946735, 115.95900353090518, 33.09313857719213, 0.7921120972927973]",11
