frame_id,timestamp,detections,tracks,anomalies,centers,boxes
0,2025-11-03 03:19:58.520600,1,"{0: array([     242.09,      97.531])}",{},"[[np.float32(242.08517), np.float32(97.53116)]]","[[np.float32(220.47182), np.float32(48.03715), np.float32(263.69852), np.float32(147.02516)]]"
1,2025-11-03 03:19:59.103493,1,"{0: array([      236.6,      159.56])}",{},"[[np.float32(236.57405), np.float32(159.87056)]]","[[np.float32(211.6235), np.float32(151.65936), np.float32(261.5246), np.float32(168.08176)]]"
2,2025-11-03 03:19:59.534905,1,"{1: array([     101.37,       219.9])}",{},"[[np.float32(101.37433), np.float32(219.90437)]]","[[np.float32(81.82464), np.float32(176.1105), np.float32(120.92402), np.float32(263.69824)]]"
3,2025-11-03 03:20:00.033797,1,"{0: array([     195.84,       140.8])}",{},"[[np.float32(195.66724), np.float32(140.40439)]]","[[np.float32(165.92645), np.float32(132.35294), np.float32(225.40804), np.float32(148.45584)]]"
4,2025-11-03 03:20:00.584389,1,"{0: array([     191.43,      168.95])}",{},"[[np.float32(197.81027), np.float32(183.9361)]]","[[np.float32(168.98141), np.float32(165.95015), np.float32(226.63911), np.float32(201.92206)]]"
5,2025-11-03 03:20:01.019421,1,"{0: array([     157.05,      164.96])}",{},"[[np.float32(143.43921), np.float32(158.41516)]]","[[np.float32(100.485985), np.float32(135.29456), np.float32(186.39243), np.float32(181.53577)]]"
6,2025-11-03 03:20:01.562460,1,"{2: array([     278.98,      216.62])}",{},"[[np.float32(278.9814), np.float32(216.616)]]","[[np.float32(250.76862), np.float32(207.50713), np.float32(307.1942), np.float32(225.72487)]]"
7,2025-11-03 03:20:01.968284,1,"{2: array([     230.33,      272.02])}",{},"[[np.float32(230.08623), np.float32(272.29773)]]","[[np.float32(194.97699), np.float32(261.508), np.float32(265.19547), np.float32(283.08743)]]"
8,2025-11-03 03:20:02.272980,1,"{3: array([     169.52,      96.387])}",{},"[[np.float32(169.52118), np.float32(96.38733)]]","[[np.float32(139.43648), np.float32(86.99812), np.float32(199.6059), np.float32(105.77654)]]"
9,2025-11-03 03:20:02.594311,1,"{3: array([     257.09,      137.52])}",{},"[[np.float32(257.5278), np.float32(137.72345)]]","[[np.float32(235.23438), np.float32(121.79053), np.float32(279.82123), np.float32(153.65637)]]"
10,2025-11-03 03:20:02.899802,1,"{4: array([     181.04,       126.8])}",{},"[[np.float32(181.04126), np.float32(126.80386)]]","[[np.float32(151.42316), np.float32(74.8471), np.float32(210.65936), np.float32(178.76064)]]"
11,2025-11-03 03:20:03.407022,1,"{4: array([     149.73,      138.96])}",{},"[[np.float32(149.56856), np.float32(139.02362)]]","[[np.float32(138.14032), np.float32(98.3204), np.float32(160.9968), np.float32(179.72684)]]"
12,2025-11-03 03:20:03.770947,1,"{3: array([     385.95,      162.48])}",{},"[[np.float32(385.94684), np.float32(162.39645)]]","[[np.float32(356.92242), np.float32(152.1835), np.float32(414.97125), np.float32(172.60942)]]"
13,2025-11-03 03:20:04.095278,0,{},{},[],[]
14,2025-11-03 03:20:04.519027,1,"{5: array([     295.39,      53.731])}",{},"[[np.float32(295.39438), np.float32(53.730824)]]","[[np.float32(217.9231), np.float32(40.01764), np.float32(372.86566), np.float32(67.44401)]]"
15,2025-11-03 03:20:04.914951,1,"{6: array([     107.25,      62.923])}",{},"[[np.float32(107.25047), np.float32(62.923042)]]","[[np.float32(25.34767), np.float32(34.667294), np.float32(189.15327), np.float32(91.178795)]]"
16,2025-11-03 03:20:05.252740,1,"{4: array([     107.81,      232.14])}",{},"[[np.float32(107.83722), np.float32(232.1925)]]","[[np.float32(81.1237), np.float32(223.46948), np.float32(134.55074), np.float32(240.91551)]]"
17,2025-11-03 03:20:05.619579,1,"{5: array([     276.05,      111.24])}",{},"[[np.float32(276.03375), np.float32(111.30084)]]","[[np.float32(216.16045), np.float32(57.189667), np.float32(335.90707), np.float32(165.41202)]]"
18,2025-11-03 03:20:05.927702,1,"{5: array([      195.9,      154.24])}",{},"[[np.float32(189.54733), np.float32(156.44386)]]","[[np.float32(145.49336), np.float32(115.684845), np.float32(233.60129), np.float32(197.20288)]]"
19,2025-11-03 03:20:06.314292,0,{},{},[],[]
