frame_id,timestamp,position,state,track_id
0,2025-11-03 03:19:58.520600,"[242.08517456054688, 97.53115844726562]","[242.08517456054688, 97.53115844726562, 0.0, 0.0]",0
1,2025-11-03 03:19:59.103493,"[236.60146908795596, 159.56041727502424]","[236.60146908795596, 159.56041727502424, -2.7419555544878413, 31.0157924479444]",0
3,2025-11-03 03:20:00.033797,"[195.84014132206764, 140.80037196776362]","[195.84014132206764, 140.80037196776362, -20.209912663808066, -8.988971645350837]",0
4,2025-11-03 03:20:00.584389,"[191.4317945346673, 168.9462153820787]","[191.4317945346673, 168.9462153820787, -13.882728853598495, 5.880364879799897]",0
5,2025-11-03 03:20:01.019421,"[157.04671066407317, 164.9621957729974]","[157.04671066407317, 164.9621957729974, -20.843069839485185, 2.531506682700655]",0
2,2025-11-03 03:19:59.534905,"[101.37432861328125, 219.9043731689453]","[101.37432861328125, 219.9043731689453, 0.0, 0.0]",1
6,2025-11-03 03:20:01.562460,"[278.9814147949219, 216.61599731445312]","[278.9814147949219, 216.61599731445312, 0.0, 0.0]",2
7,2025-11-03 03:20:01.968284,"[230.32948403010857, 272.0207093945383]","[230.32948403010857, 272.0207093945383, -24.326877594705827, 27.703394865408768]",2
8,2025-11-03 03:20:02.272980,"[169.52117919921875, 96.3873291015625]","[169.52117919921875, 96.3873291015625, 0.0, 0.0]",3
9,2025-11-03 03:20:02.594311,"[257.089963067312, 137.51779992354363]","[257.089963067312, 137.51779992354363, 43.78603382822047, 20.566006597678648]",3
12,2025-11-03 03:20:03.770947,"[385.9523072456281, 162.47695845426097]","[385.9523072456281, 162.47695845426097, 42.9585629533855, 8.385199757253869]",3
10,2025-11-03 03:20:02.899802,"[181.041259765625, 126.80386352539062]","[181.041259765625, 126.80386352539062, 0.0, 0.0]",4
11,2025-11-03 03:20:03.407022,"[149.7251363988584, 138.96282655027005]","[149.7251363988584, 138.96282655027005, -15.658648853356802, 6.079709490146704]",4
16,2025-11-03 03:20:05.252740,"[107.8084116943786, 232.14278659416615]","[107.8084116943786, 232.14278659416615, -8.402186114927495, 18.603474452541132]",4
14,2025-11-03 03:20:04.519027,"[295.3943786621094, 53.7308235168457]","[295.3943786621094, 53.7308235168457, 0.0, 0.0]",5
17,2025-11-03 03:20:05.619579,"[276.05309203581805, 111.24333480577178]","[276.05309203581805, 111.24333480577178, -5.802748605282625, 17.25483165191628]",5
18,2025-11-03 03:20:05.927702,"[195.90103243636565, 154.24371497796616]","[195.90103243636565, 154.24371497796616, -71.91626610846805, 40.14850410112017]",5
15,2025-11-03 03:20:04.914951,"[107.25047302246094, 62.92304229736328]","[107.25047302246094, 62.92304229736328, 0.0, 0.0]",6
